,pixel count,update rate,iterations,kernel size,time rate,detection rate
0,6,5,1,7,48.629204511642456,17.731550272412086
1,6,5,1,9,48.0239417552948,31.996037642397226
2,6,5,1,11,52.16421985626221,47.25111441307578
3,6,5,1,13,75.16011619567871,56.364536899455175
4,6,5,1,15,81.24243450164795,55.225359088657754
5,6,5,1,17,76.38427543640137,50.9162951956414
6,6,5,1,19,78.9774842262268,50.123823675086676
7,6,5,2,7,48.1116464138031,55.72065378900446
8,6,5,2,9,49.46535658836365,50.56958890539871
9,6,5,2,11,66.38141202926636,45.41852402179297
10,6,5,2,13,76.11207222938538,37.79098563645369
11,6,5,2,15,76.77837252616882,30.65874195146112
12,6,5,2,17,80.49639248847961,26.300148588410103
13,6,5,2,19,89.7162811756134,10.698365527488855
14,6,10,1,7,41.490177631378174,7.627538385339277
15,6,10,1,9,41.656662464141846,22.88261515601783
16,6,10,1,11,53.141578912734985,42.00099058940069
17,6,10,1,13,66.4181456565857,53.888063397721645
18,6,10,1,15,66.84021520614624,54.928182268449724
19,6,10,1,17,68.98238897323608,51.21347201584943
20,6,10,1,19,71.98966097831726,50.27241208519069
21,6,10,2,7,41.59553623199463,53.04606240713225
22,6,10,2,9,44.90574598312378,50.86676572560673
23,6,10,2,11,64.44723796844482,46.161466072313026
24,6,10,2,13,67.93325543403625,38.63298662704309
25,6,10,2,15,68.72903418540955,31.352154531946507
26,6,10,2,17,71.66434407234192,26.498266468548785
27,6,10,2,19,81.57907104492188,10.698365527488855
28,6,15,1,7,38.50297570228577,6.33977216443784
29,6,15,1,9,39.6151762008667,19.61367013372957
30,6,15,1,11,53.32219195365906,36.20604259534423
31,6,15,1,13,62.89775013923645,52.30312035661218
32,6,15,1,15,64.59082078933716,51.21347201584943
33,6,15,1,17,66.14979696273804,52.9470034670629
34,6,15,1,19,68.83018922805786,51.312530955918774
35,6,15,2,7,38.80566644668579,51.6097077761268
36,6,15,2,9,43.37843370437622,52.550767706785535
37,6,15,2,11,62.98596811294556,45.91381872213967
38,6,15,2,13,64.66244959831238,38.335809806835066
39,6,15,2,15,66.2655611038208,31.203566121842496
40,6,15,2,17,68.45854258537292,26.54779593858346
41,6,15,2,19,73.64588332176208,10.698365527488855
42,6,20,1,7,36.19283390045166,6.438831104507182
43,6,20,1,9,38.082178592681885,20.307082714214957
44,6,20,1,11,50.76133465766907,33.53145121347202
45,6,20,1,13,62.094229221343994,53.04606240713225
46,6,20,1,15,63.633015632629395,55.473006438831106
47,6,20,1,17,65.49855494499207,53.14512134720159
48,6,20,1,19,67.45688462257385,51.21347201584943
49,6,20,2,7,37.05675482749939,51.461119366022785
50,6,20,2,9,40.41371202468872,52.69935611688955
51,6,20,2,11,61.373674392700195,45.81475978207033
52,6,20,2,13,63.301531076431274,38.187221396731054
53,6,20,2,15,64.29458022117615,31.154036651807825
54,6,20,2,17,67.344074010849,26.54779593858346
55,6,20,2,19,75.18883895874023,10.698365527488855
56,6,25,1,7,35.619871854782104,5.943536404160476
57,6,25,1,9,36.79456162452698,20.950965824665676
58,6,25,1,11,48.90279150009155,33.333333333333336
59,6,25,1,13,61.761537313461304,50.56958890539871
60,6,25,1,15,62.77902173995972,53.24418028727093
61,6,25,1,17,64.32254195213318,52.05547300643883
62,6,25,1,19,66.29911184310913,50.61911837543338
63,6,25,2,7,35.45593333244324,49.33135215453195
64,6,25,2,9,37.695942640304565,51.75829618623081
65,6,25,2,11,57.02301907539368,45.76523031203566
66,6,25,2,13,62.61774182319641,38.236750866765725
67,6,25,2,15,64.03176712989807,31.054977711738484
68,6,25,2,17,66.25498104095459,26.399207528479444
69,6,25,2,19,70.418466091156,10.698365527488855
70,6,30,1,7,35.165552616119385,7.033184744923229
71,6,30,1,9,35.72857928276062,19.316493313521544
72,6,30,1,11,44.03653812408447,32.788509162951954
73,6,30,1,13,60.35399889945984,49.77711738484398
74,6,30,1,15,62.16439747810364,53.789004457652304
75,6,30,1,17,63.334065437316895,52.15453194650817
76,6,30,1,19,65.63490962982178,50.61911837543338
77,6,30,2,7,35.084434509277344,49.0837048043586
78,6,30,2,9,37.92883801460266,52.05547300643883
79,6,30,2,11,56.93686389923096,45.71570084200099
80,6,30,2,13,62.13339018821716,38.335809806835066
81,6,30,2,15,63.36757206916809,31.054977711738484
82,6,30,2,17,65.65460443496704,26.448736998514114
83,6,30,2,19,75.30545425415039,10.698365527488855
84,8,5,1,7,48.475624561309814,16.592372461614662
85,8,5,1,9,49.541056394577026,31.996037642397226
86,8,5,1,11,57.209487199783325,47.25111441307578
87,8,5,1,13,73.12673592567444,56.364536899455175
88,8,5,1,15,75.84990954399109,55.225359088657754
89,8,5,1,17,75.97854232788086,50.9162951956414
90,8,5,1,19,79.38428473472595,50.123823675086676
91,8,5,2,7,48.643513441085815,55.72065378900446
92,8,5,2,9,51.497522592544556,50.56958890539871
93,8,5,2,11,68.75439476966858,45.41852402179297
94,8,5,2,13,74.99051785469055,37.79098563645369
95,8,5,2,15,75.84250783920288,30.65874195146112
96,8,5,2,17,78.5895447731018,26.300148588410103
97,8,5,2,19,84.5537416934967,10.698365527488855
98,8,10,1,7,40.69776511192322,7.627538385339277
99,8,10,1,9,41.961668968200684,22.88261515601783
100,8,10,1,11,52.92231798171997,42.00099058940069
101,8,10,1,13,64.193612575531,53.888063397721645
102,8,10,1,15,68.19914841651917,54.928182268449724
103,8,10,1,17,69.72384572029114,51.21347201584943
104,8,10,1,19,72.94894909858704,50.27241208519069
105,8,10,2,7,42.267988443374634,53.04606240713225
106,8,10,2,9,48.68903160095215,50.86676572560673
107,8,10,2,11,63.38609480857849,46.161466072313026
108,8,10,2,13,66.36862826347351,38.63298662704309
109,8,10,2,15,69.1647584438324,31.352154531946507
110,8,10,2,17,72.4862368106842,26.498266468548785
111,8,10,2,19,87.0713529586792,10.698365527488855
112,8,15,1,7,38.82614278793335,6.33977216443784
113,8,15,1,9,39.652058362960815,19.61367013372957
114,8,15,1,11,52.05842447280884,36.20604259534423
115,8,15,1,13,63.60957479476929,52.30312035661218
116,8,15,1,15,64.66837239265442,51.21347201584943
117,8,15,1,17,66.17975640296936,52.9470034670629
118,8,15,1,19,69.03921365737915,51.312530955918774
119,8,15,2,7,38.95081543922424,51.6097077761268
120,8,15,2,9,42.49731421470642,52.550767706785535
121,8,15,2,11,62.770565032958984,45.91381872213967
122,8,15,2,13,64.97136044502258,38.335809806835066
123,8,15,2,15,66.1108329296112,31.203566121842496
124,8,15,2,17,68.85195255279541,26.54779593858346
125,8,15,2,19,78.2300431728363,10.698365527488855
126,8,20,1,7,36.76056265830994,6.438831104507182
127,8,20,1,9,37.87622928619385,20.307082714214957
128,8,20,1,11,48.226253271102905,33.53145121347202
129,8,20,1,13,63.375728368759155,53.04606240713225
130,8,20,1,15,63.33193874359131,55.473006438831106
131,8,20,1,17,64.68429636955261,53.14512134720159
132,8,20,1,19,67.3636794090271,51.21347201584943
133,8,20,2,7,37.23840022087097,51.461119366022785
134,8,20,2,9,41.49911880493164,52.69935611688955
135,8,20,2,11,61.21180319786072,45.81475978207033
136,8,20,2,13,62.768200635910034,38.187221396731054
137,8,20,2,15,64.29629230499268,31.154036651807825
138,8,20,2,17,67.26952767372131,26.54779593858346
139,8,20,2,19,76.60276412963867,10.698365527488855
140,8,25,1,7,35.90011525154114,5.943536404160476
141,8,25,1,9,36.466261863708496,20.950965824665676
142,8,25,1,11,49.35252785682678,33.333333333333336
143,8,25,1,13,60.49332594871521,50.56958890539871
144,8,25,1,15,62.35566163063049,53.24418028727093
145,8,25,1,17,63.66951322555542,52.05547300643883
146,8,25,1,19,66.37919116020203,50.61911837543338
147,8,25,2,7,36.0835018157959,49.33135215453195
148,8,25,2,9,40.57517623901367,51.75829618623081
149,8,25,2,11,60.2298104763031,45.76523031203566
150,8,25,2,13,62.22490572929382,38.236750866765725
151,8,25,2,15,64.15993690490723,31.054977711738484
152,8,25,2,17,66.49830341339111,26.399207528479444
153,8,25,2,19,75.993399143219,10.698365527488855
154,8,30,1,7,35.17870807647705,7.033184744923229
155,8,30,1,9,36.25960421562195,19.316493313521544
156,8,30,1,11,48.27632164955139,32.788509162951954
157,8,30,1,13,61.30530023574829,49.77711738484398
158,8,30,1,15,62.548025608062744,53.789004457652304
159,8,30,1,17,63.259376525878906,52.15453194650817
160,8,30,1,19,65.94657468795776,50.61911837543338
161,8,30,2,7,35.63388752937317,49.0837048043586
162,8,30,2,9,39.62360191345215,52.05547300643883
163,8,30,2,11,59.75572872161865,45.71570084200099
164,8,30,2,13,61.75760865211487,38.335809806835066
165,8,30,2,15,63.27106285095215,31.054977711738484
166,8,30,2,17,65.84754800796509,26.448736998514114
167,8,30,2,19,74.6626660823822,10.698365527488855
168,10,5,1,7,49.26304364204407,16.592372461614662
169,10,5,1,9,52.30438184738159,31.996037642397226
170,10,5,1,11,62.77849292755127,47.25111441307578
171,10,5,1,13,73.85023951530457,56.364536899455175
172,10,5,1,15,74.83644771575928,55.225359088657754
173,10,5,1,17,76.73773384094238,50.9162951956414
174,10,5,1,19,79.23582887649536,50.123823675086676
175,10,5,2,7,48.41491198539734,55.72065378900446
176,10,5,2,9,51.0838828086853,50.56958890539871
177,10,5,2,11,70.71559476852417,45.41852402179297
178,10,5,2,13,76.03957104682922,37.79098563645369
179,10,5,2,15,77.10404014587402,30.65874195146112
180,10,5,2,17,79.10428762435913,26.300148588410103
181,10,5,2,19,83.4381754398346,10.698365527488855
182,10,10,1,7,40.72371983528137,7.627538385339277
183,10,10,1,9,41.38977813720703,22.88261515601783
184,10,10,1,11,49.32930302619934,42.00099058940069
185,10,10,1,13,66.65570187568665,53.888063397721645
186,10,10,1,15,68.18059587478638,54.928182268449724
187,10,10,1,17,69.36086297035217,51.21347201584943
188,10,10,1,19,71.84356260299683,50.27241208519069
189,10,10,2,7,41.29746198654175,53.04606240713225
190,10,10,2,9,43.46829175949097,50.86676572560673
191,10,10,2,11,64.36971759796143,46.161466072313026
192,10,10,2,13,68.7641544342041,38.63298662704309
193,10,10,2,15,69.06452298164368,31.352154531946507
194,10,10,2,17,71.96637344360352,26.498266468548785
195,10,10,2,19,76.81038188934326,10.698365527488855
196,10,15,1,7,38.261558055877686,6.33977216443784
197,10,15,1,9,39.00332593917847,19.61367013372957
198,10,15,1,11,47.02137494087219,36.20604259534423
199,10,15,1,13,63.976553440093994,52.30312035661218
200,10,15,1,15,65.69978785514832,51.21347201584943
201,10,15,1,17,66.48494672775269,52.9470034670629
202,10,15,1,19,68.98900413513184,51.312530955918774
203,10,15,2,7,38.211180448532104,51.6097077761268
204,10,15,2,9,41.06928205490112,52.550767706785535
205,10,15,2,11,62.22147297859192,45.91381872213967
206,10,15,2,13,65.5282347202301,38.335809806835066
207,10,15,2,15,66.68448090553284,31.203566121842496
208,10,15,2,17,69.24587798118591,26.54779593858346
209,10,15,2,19,73.61111831665039,10.698365527488855
210,10,20,1,7,36.56118726730347,6.438831104507182
211,10,20,1,9,37.34948253631592,20.307082714214957
212,10,20,1,11,45.65213346481323,33.53145121347202
213,10,20,1,13,62.51571583747864,53.04606240713225
214,10,20,1,15,64.14942216873169,55.473006438831106
215,10,20,1,17,65.40828919410706,53.14512134720159
216,10,20,1,19,67.69766068458557,51.21347201584943
217,10,20,2,7,37.247183084487915,51.461119366022785
218,10,20,2,9,39.613121509552,52.69935611688955
219,10,20,2,11,60.237630128860474,45.81475978207033
220,10,20,2,13,64.98216986656189,38.187221396731054
221,10,20,2,15,65.4721941947937,31.154036651807825
222,10,20,2,17,67.87416934967041,26.54779593858346
223,10,20,2,19,71.58194136619568,10.698365527488855
224,10,25,1,7,35.843759059906006,5.943536404160476
225,10,25,1,9,36.276753664016724,20.950965824665676
226,10,25,1,11,43.78038954734802,33.333333333333336
227,10,25,1,13,62.01917099952698,50.56958890539871
228,10,25,1,15,64.14984798431396,53.24418028727093
229,10,25,1,17,65.08163094520569,52.05547300643883
230,10,25,1,19,67.22126793861389,50.61911837543338
231,10,25,2,7,35.98072862625122,49.33135215453195
232,10,25,2,9,38.458062410354614,51.75829618623081
233,10,25,2,11,59.9214301109314,45.76523031203566
234,10,25,2,13,62.696309089660645,38.236750866765725
235,10,25,2,15,63.6889865398407,31.054977711738484
236,10,25,2,17,66.54885864257812,26.399207528479444
237,10,25,2,19,75.15803289413452,10.698365527488855
238,10,30,1,7,35.257822036743164,7.033184744923229
239,10,30,1,9,35.998541831970215,19.316493313521544
240,10,30,1,11,46.6513032913208,32.788509162951954
241,10,30,1,13,60.37545418739319,49.77711738484398
242,10,30,1,15,61.75513577461243,53.789004457652304
243,10,30,1,17,63.484976053237915,52.15453194650817
244,10,30,1,19,66.70094919204712,50.61911837543338
245,10,30,2,7,35.248234033584595,49.0837048043586
246,10,30,2,9,37.87944269180298,52.05547300643883
247,10,30,2,11,59.74572205543518,45.71570084200099
248,10,30,2,13,63.01313591003418,38.335809806835066
249,10,30,2,15,63.004342794418335,31.054977711738484
250,10,30,2,17,66.07773041725159,26.448736998514114
251,10,30,2,19,71.29670715332031,10.698365527488855
252,12,5,1,7,48.582573652267456,16.592372461614662
253,12,5,1,9,49.459861755371094,31.996037642397226
254,12,5,1,11,59.33311581611633,47.25111441307578
255,12,5,1,13,73.56504511833191,56.364536899455175
256,12,5,1,15,75.1548867225647,55.225359088657754
257,12,5,1,17,76.63129925727844,50.9162951956414
258,12,5,1,19,79.23261952400208,50.123823675086676
259,12,5,2,7,48.81302499771118,55.72065378900446
260,12,5,2,9,52.072107791900635,50.56958890539871
261,12,5,2,11,71.18786668777466,45.41852402179297
262,12,5,2,13,75.44957375526428,37.79098563645369
263,12,5,2,15,76.02306413650513,30.65874195146112
264,12,5,2,17,79.01577377319336,26.300148588410103
265,12,5,2,19,85.03562045097351,10.698365527488855
266,12,10,1,7,41.018529176712036,7.627538385339277
267,12,10,1,9,41.830875873565674,22.88261515601783
268,12,10,1,11,49.62323212623596,42.00099058940069
269,12,10,1,13,67.04022717475891,53.888063397721645
270,12,10,1,15,68.43410396575928,54.928182268449724
271,12,10,1,17,69.11548733711243,51.21347201584943
272,12,10,1,19,71.88373875617981,50.27241208519069
273,12,10,2,7,41.032997846603394,53.04606240713225
274,12,10,2,9,43.55091166496277,50.86676572560673
275,12,10,2,11,65.34885954856873,46.161466072313026
276,12,10,2,13,68.17662334442139,38.63298662704309
277,12,10,2,15,69.13943719863892,31.352154531946507
278,12,10,2,17,71.58079671859741,26.498266468548785
279,12,10,2,19,76.87744355201721,10.698365527488855
280,12,15,1,7,38.29674053192139,6.33977216443784
281,12,15,1,9,38.83328437805176,19.61367013372957
282,12,15,1,11,47.43599510192871,36.20604259534423
283,12,15,1,13,64.09498167037964,52.30312035661218
284,12,15,1,15,66.13014793395996,51.21347201584943
285,12,15,1,17,66.13152623176575,52.9470034670629
286,12,15,1,19,68.85658740997314,51.312530955918774
287,12,15,2,7,38.34786677360535,51.6097077761268
288,12,15,2,9,40.923059940338135,52.550767706785535
289,12,15,2,11,61.329898834228516,45.91381872213967
290,12,15,2,13,64.85998201370239,38.335809806835066
291,12,15,2,15,66.50986528396606,31.203566121842496
292,12,15,2,17,68.98984813690186,26.54779593858346
293,12,15,2,19,74.35079193115234,10.698365527488855
294,12,20,1,7,36.56633996963501,6.438831104507182
295,12,20,1,9,37.16238260269165,20.307082714214957
296,12,20,1,11,45.73633861541748,33.53145121347202
297,12,20,1,13,62.51483631134033,53.04606240713225
298,12,20,1,15,63.75268602371216,55.473006438831106
299,12,20,1,17,65.21805095672607,53.14512134720159
300,12,20,1,19,67.63167929649353,51.21347201584943
301,12,20,2,7,36.681466817855835,51.461119366022785
302,12,20,2,9,38.65737724304199,52.69935611688955
303,12,20,2,11,59.62375259399414,45.81475978207033
304,12,20,2,13,64.17435646057129,38.187221396731054
305,12,20,2,15,65.37419128417969,31.154036651807825
306,12,20,2,17,67.46880578994751,26.54779593858346
307,12,20,2,19,72.61563205718994,10.698365527488855
308,12,25,1,7,35.570570945739746,5.943536404160476
309,12,25,1,9,36.25646090507507,20.950965824665676
310,12,25,1,11,44.054282665252686,33.333333333333336
311,12,25,1,13,61.93862199783325,50.56958890539871
312,12,25,1,15,64.28902745246887,53.24418028727093
313,12,25,1,17,64.660391330719,52.05547300643883
314,12,25,1,19,66.67116165161133,50.61911837543338
315,12,25,2,7,35.91189432144165,49.33135215453195
316,12,25,2,9,37.866843461990356,51.75829618623081
317,12,25,2,11,60.254762172698975,45.76523031203566
318,12,25,2,13,63.14179253578186,38.236750866765725
319,12,25,2,15,64.46877217292786,31.054977711738484
320,12,25,2,17,66.94980716705322,26.399207528479444
321,12,25,2,19,71.82636451721191,10.698365527488855
322,12,30,1,7,35.18256688117981,7.033184744923229
323,12,30,1,9,35.52239418029785,19.316493313521544
324,12,30,1,11,44.165122509002686,32.788509162951954
325,12,30,1,13,60.751935958862305,49.77711738484398
326,12,30,1,15,62.567100286483765,53.789004457652304
327,12,30,1,17,63.578125953674316,52.15453194650817
328,12,30,1,19,66.01605987548828,50.61911837543338
329,12,30,2,7,35.159677267074585,49.0837048043586
330,12,30,2,9,37.293737173080444,52.05547300643883
331,12,30,2,11,58.50594639778137,45.71570084200099
332,12,30,2,13,62.73776149749756,38.335809806835066
333,12,30,2,15,63.067583322525024,31.054977711738484
334,12,30,2,17,65.83316850662231,26.448736998514114
335,12,30,2,19,71.42403650283813,10.698365527488855
336,14,5,1,7,48.47094416618347,16.592372461614662
337,14,5,1,9,49.392319679260254,31.996037642397226
338,14,5,1,11,58.12519574165344,47.25111441307578
339,14,5,1,13,74.76024436950684,56.364536899455175
340,14,5,1,15,76.43739533424377,55.225359088657754
341,14,5,1,17,76.5931167602539,50.9162951956414
342,14,5,1,19,79.29417824745178,50.123823675086676
343,14,5,2,7,48.72393608093262,55.72065378900446
344,14,5,2,9,52.480109214782715,50.56958890539871
345,14,5,2,11,71.61437153816223,45.41852402179297
346,14,5,2,13,75.34392929077148,37.79098563645369
347,14,5,2,15,76.58598732948303,30.65874195146112
348,14,5,2,17,79.21121621131897,26.300148588410103
349,14,5,2,19,84.40373253822327,10.698365527488855
350,14,10,1,7,40.868064880371094,7.627538385339277
351,14,10,1,9,41.6074857711792,22.88261515601783
352,14,10,1,11,50.73260140419006,42.00099058940069
353,14,10,1,13,67.80393385887146,53.888063397721645
354,14,10,1,15,68.84256553649902,54.928182268449724
355,14,10,1,17,69.7311053276062,51.21347201584943
356,14,10,1,19,71.90969514846802,50.27241208519069
357,14,10,2,7,41.06211590766907,53.04606240713225
358,14,10,2,9,44.03952956199646,50.86676572560673
359,14,10,2,11,64.86807036399841,46.161466072313026
360,14,10,2,13,68.55960941314697,38.63298662704309
361,14,10,2,15,69.47847390174866,31.352154531946507
362,14,10,2,17,71.76607513427734,26.498266468548785
363,14,10,2,19,76.500727891922,10.698365527488855
364,14,15,1,7,38.088982582092285,6.33977216443784
365,14,15,1,9,38.838549852371216,19.61367013372957
366,14,15,1,11,46.78304576873779,36.20604259534423
367,14,15,1,13,64.36034536361694,52.30312035661218
368,14,15,1,15,65.858314037323,51.21347201584943
369,14,15,1,17,66.32997822761536,52.9470034670629
370,14,15,1,19,68.87690281867981,51.312530955918774
371,14,15,2,7,38.184161901474,51.6097077761268
372,14,15,2,9,40.637126207351685,52.550767706785535
373,14,15,2,11,62.487292528152466,45.91381872213967
374,14,15,2,13,65.9301688671112,38.335809806835066
375,14,15,2,15,66.88636469841003,31.203566121842496
376,14,15,2,17,68.99456858634949,26.54779593858346
377,14,15,2,19,73.79518675804138,10.698365527488855
378,14,20,1,7,36.81307911872864,6.438831104507182
379,14,20,1,9,37.26078677177429,20.307082714214957
380,14,20,1,11,45.15990161895752,33.53145121347202
381,14,20,1,13,63.36570143699646,53.04606240713225
382,14,20,1,15,64.39661026000977,55.473006438831106
383,14,20,1,17,65.37562251091003,53.14512134720159
384,14,20,1,19,67.62353563308716,51.21347201584943
385,14,20,2,7,36.81867051124573,51.461119366022785
386,14,20,2,9,38.436194896698,52.69935611688955
387,14,20,2,11,60.48890471458435,45.81475978207033
388,14,20,2,13,65.28448462486267,38.187221396731054
389,14,20,2,15,65.28072428703308,31.154036651807825
390,14,20,2,17,68.20871353149414,26.54779593858346
391,14,20,2,19,72.06085872650146,10.698365527488855
392,14,25,1,7,35.91408324241638,5.943536404160476
393,14,25,1,9,36.449262619018555,20.950965824665676
394,14,25,1,11,40.37350034713745,33.333333333333336
395,14,25,1,13,62.51823019981384,50.56958890539871
396,14,25,1,15,64.65391397476196,53.24418028727093
397,14,25,1,17,64.81923174858093,52.05547300643883
398,14,25,1,19,66.93431782722473,50.61911837543338
399,14,25,2,7,35.73739171028137,49.33135215453195
400,14,25,2,9,37.961917877197266,51.75829618623081
401,14,25,2,11,59.02623701095581,45.76523031203566
402,14,25,2,13,64.29075908660889,38.236750866765725
403,14,25,2,15,64.79038548469543,31.054977711738484
404,14,25,2,17,66.84499979019165,26.399207528479444
405,14,25,2,19,71.19102907180786,10.698365527488855
406,14,30,1,7,34.895883321762085,7.033184744923229
407,14,30,1,9,35.713672399520874,19.316493313521544
408,14,30,1,11,42.92499279975891,32.788509162951954
409,14,30,1,13,63.01751184463501,49.77711738484398
410,14,30,1,15,64.04496479034424,53.789004457652304
411,14,30,1,17,64.33961749076843,52.15453194650817
412,14,30,1,19,66.22456741333008,50.61911837543338
413,14,30,2,7,35.30752110481262,49.0837048043586
414,14,30,2,9,37.929972887039185,52.05547300643883
415,14,30,2,11,58.422372817993164,45.71570084200099
416,14,30,2,13,62.688493967056274,38.335809806835066
417,14,30,2,15,63.959874868392944,31.054977711738484
418,14,30,2,17,65.99971318244934,26.448736998514114
419,14,30,2,19,69.86222195625305,10.698365527488855
420,16,5,1,7,48.20776557922363,16.592372461614662
421,16,5,1,9,49.30313205718994,31.996037642397226
422,16,5,1,11,56.92458176612854,47.25111441307578
423,16,5,1,13,73.8943419456482,56.364536899455175
424,16,5,1,15,75.86075520515442,55.225359088657754
425,16,5,1,17,76.78880310058594,50.9162951956414
426,16,5,1,19,79.40025401115417,50.123823675086676
427,16,5,2,7,48.518616676330566,55.72065378900446
428,16,5,2,9,50.95308971405029,50.56958890539871
429,16,5,2,11,68.33379292488098,45.41852402179297
430,16,5,2,13,74.12218475341797,37.79098563645369
431,16,5,2,15,77.22061061859131,30.65874195146112
432,16,5,2,17,79.57296442985535,26.300148588410103
433,16,5,2,19,83.25790548324585,10.698365527488855
434,16,10,1,7,41.11636996269226,7.627538385339277
435,16,10,1,9,42.12117409706116,22.88261515601783
436,16,10,1,11,49.01899218559265,42.00099058940069
437,16,10,1,13,67.25917482376099,53.888063397721645
438,16,10,1,15,67.24342679977417,54.928182268449724
439,16,10,1,17,69.61992835998535,51.21347201584943
440,16,10,1,19,72.14415264129639,50.27241208519069
441,16,10,2,7,41.51883292198181,53.04606240713225
442,16,10,2,9,44.5337929725647,50.86676572560673
443,16,10,2,11,63.938230752944946,46.161466072313026
444,16,10,2,13,67.82251000404358,38.63298662704309
445,16,10,2,15,69.65624141693115,31.352154531946507
446,16,10,2,17,72.07645678520203,26.498266468548785
447,16,10,2,19,76.11877727508545,10.698365527488855
448,16,15,1,7,38.36119627952576,6.33977216443784
449,16,15,1,9,38.93230366706848,19.61367013372957
450,16,15,1,11,48.35837388038635,36.20604259534423
451,16,15,1,13,64.28478527069092,52.30312035661218
452,16,15,1,15,65.56060028076172,51.21347201584943
453,16,15,1,17,67.2338273525238,52.9470034670629
454,16,15,1,19,69.90611910820007,51.312530955918774
455,16,15,2,7,38.68663311004639,51.6097077761268
456,16,15,2,9,40.89743900299072,52.550767706785535
457,16,15,2,11,61.25692343711853,45.91381872213967
458,16,15,2,13,63.606536865234375,38.335809806835066
459,16,15,2,15,66.7257776260376,31.203566121842496
460,16,15,2,17,69.10936379432678,26.54779593858346
461,16,15,2,19,75.40060997009277,10.698365527488855
462,16,20,1,7,36.52037000656128,6.438831104507182
463,16,20,1,9,37.641252756118774,20.307082714214957
464,16,20,1,11,46.69035339355469,33.53145121347202
465,16,20,1,13,63.39538526535034,53.04606240713225
466,16,20,1,15,65.18556690216064,55.473006438831106
467,16,20,1,17,65.7423825263977,53.14512134720159
468,16,20,1,19,67.49136924743652,51.21347201584943
469,16,20,2,7,36.55217742919922,51.461119366022785
470,16,20,2,9,37.87358641624451,52.69935611688955
471,16,20,2,11,58.301841259002686,45.81475978207033
472,16,20,2,13,64.59166836738586,38.187221396731054
473,16,20,2,15,65.9820065498352,31.154036651807825
474,16,20,2,17,67.52016544342041,26.54779593858346
475,16,20,2,19,70.98740816116333,10.698365527488855
476,16,25,1,7,35.476454973220825,5.943536404160476
477,16,25,1,9,35.97281241416931,20.950965824665676
478,16,25,1,11,43.1520791053772,33.333333333333336
479,16,25,1,13,62.80946350097656,50.56958890539871
480,16,25,1,15,64.08752799034119,53.24418028727093
481,16,25,1,17,64.64800667762756,52.05547300643883
482,16,25,1,19,66.62652134895325,50.61911837543338
483,16,25,2,7,35.95206952095032,49.33135215453195
484,16,25,2,9,38.47682476043701,51.75829618623081
485,16,25,2,11,58.89448523521423,45.76523031203566
486,16,25,2,13,62.341166257858276,38.236750866765725
487,16,25,2,15,64.72267651557922,31.054977711738484
488,16,25,2,17,67.0242919921875,26.399207528479444
489,16,25,2,19,70.62181830406189,10.698365527488855
490,16,30,1,7,35.14287042617798,7.033184744923229
491,16,30,1,9,35.74920105934143,19.316493313521544
492,16,30,1,11,45.33003854751587,32.788509162951954
493,16,30,1,13,60.29301357269287,49.77711738484398
494,16,30,1,15,60.53071475028992,53.789004457652304
495,16,30,1,17,64.05461192131042,52.15453194650817
496,16,30,1,19,66.08395791053772,50.61911837543338
497,16,30,2,7,35.14672255516052,49.0837048043586
498,16,30,2,9,38.217848777770996,52.05547300643883
499,16,30,2,11,59.414193868637085,45.71570084200099
500,16,30,2,13,60.880146741867065,38.335809806835066
501,16,30,2,15,63.48843789100647,31.054977711738484
502,16,30,2,17,66.74464416503906,26.448736998514114
503,16,30,2,19,70.88313603401184,10.698365527488855
